Data,Fechamento,Real_Label,Previsto_Label,Acertou
2025-09-01,141283.0,Baixa,Baixa,True
2025-09-02,140335.0,Baixa,Alta,False
2025-09-03,139864.0,Alta,Alta,True
2025-09-04,140993.0,Baixa,Alta,False
2025-09-05,14264.0,Alta,Alta,True
2025-09-08,141792.0,Baixa,Baixa,True
2025-09-09,141618.0,Alta,Baixa,False
2025-09-10,142349.0,Alta,Alta,True
2025-09-11,143151.0,Baixa,Baixa,True
2025-09-12,142272.0,Alta,Alta,True
2025-09-15,143547.0,Alta,Alta,True
2025-09-16,144062.0,Alta,Alta,True
2025-09-17,145594.0,Baixa,Baixa,True
2025-09-18,145499.0,Alta,Alta,True
2025-09-19,145865.0,Baixa,Alta,False
2025-09-22,145109.0,Alta,Alta,True
2025-09-23,146425.0,Alta,Alta,True
2025-09-24,146492.0,Baixa,Baixa,True
2025-09-25,145306.0,Alta,Baixa,False
2025-09-26,145447.0,Alta,Alta,True
2025-09-29,146337.0,Baixa,Baixa,True
2025-09-30,146237.0,Baixa,Baixa,True
2025-10-01,145517.0,Baixa,Baixa,True
2025-10-02,14395.0,Alta,Alta,True
2025-10-03,144201.0,Baixa,Baixa,True
